epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,8843.1,0.71991,0.49541,0.01123,0.91838,0.87859,0.92511,0.8389,0.52655,0.52125,0.01052,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8978.49,0.70902,0.49465,0.01102,0.93153,0.88458,0.93849,0.84648,0.52323,0.47563,0.01029,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9120.36,0.70727,0.49791,0.01111,0.91821,0.87186,0.93066,0.84026,0.52508,0.51645,0.01034,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9258.33,0.70411,0.4854,0.01089,0.93659,0.8665,0.93334,0.84557,0.5061,0.51298,0.00994,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9395.42,0.69435,0.48769,0.01075,0.93667,0.86383,0.93408,0.84254,0.51377,0.49539,0.0102,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9532.87,0.68661,0.46287,0.01052,0.91879,0.88166,0.93038,0.84099,0.5115,0.52998,0.01014,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9668.84,0.68847,0.46602,0.01066,0.92954,0.87025,0.93394,0.84578,0.51803,0.50112,0.01026,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9804.1,0.68171,0.46195,0.01043,0.93865,0.87379,0.93637,0.84536,0.51443,0.50768,0.01016,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9938.77,0.67923,0.46522,0.01042,0.90367,0.88733,0.93704,0.84582,0.51341,0.50245,0.01012,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10073.8,0.66106,0.45702,0.01008,0.91901,0.88723,0.93467,0.84448,0.50898,0.52035,0.01007,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10208.7,0.66527,0.45843,0.01016,0.92391,0.87335,0.93476,0.84526,0.50221,0.52023,0.00999,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10343.8,0.65673,0.45115,0.01008,0.91084,0.88138,0.93286,0.84675,0.50388,0.52865,0.00994,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
